1786623123,25.70,6707,0
1786623139,25.94,6771,4094
1786623155,25.94,6771,0
1786623171,26.19,6835,4095
1786623187,26.19,6835,0
1786623203,26.23,6845,647
1786623219,26.47,6909,4092
1786623235,26.47,6909,0
1786623251,26.72,6973,4095
1786623267,26.72,6973,0
1786623283,26.96,7037,4094
1786623299,26.96,7037,0
1786623315,27.21,7101,4091
1786623331,27.21,7101,0
1786623347,27.45,7165,4089
1786623363,27.45,7165,0
1786623379,27.70,7228,4090
1786623395,27.70,7228,0
1786623411,27.70,7228,0
1786623427,27.94,7292,4090
1786623443,27.94,7292,0
1786623459,28.23,7368,4818
1786623475,28.23,7368,0
1786623491,28.23,7368,0
1786623507,28.48,7432,4093
1786623523,28.48,7432,0
1786623539,28.48,7432,0
1786623555,28.48,7432,0
1786623571,28.48,7432,0
1786623587,28.48,7432,0
1786623603,28.48,7432,0
1786623619,28.48,7432,0
1786623635,28.48,7432,0
1786623651,28.48,7432,0
1786623667,28.48,7432,0
1786623683,28.48,7432,0
1786623699,28.48,7432,0
1786623715,28.72,7496,4092
1786623731,28.72,7496,0
1786623747,28.97,7560,4095
1786623763,28.97,7560,0
1786623779,29.21,7624,4095
1786623795,29.21,7624,0
1786623811,29.46,7687,4091
1786623827,29.46,7687,0
1786623843,29.46,7687,0
1786623859,29.76,7767,5110
1786623875,29.85,7790,1448
1786623891,29.85,7790,0
1786623907,30.09,7854,4093
1786623923,30.09,7854,0
1786623939,30.34,7918,4095
1786623955,30.34,7918,0
1786623971,30.58,7982,4091
1786623987,30.58,7982,0
1786624003,30.83,8046,4095
1786624019,30.83,8046,0
1786624035,31.07,8110,4089
1786624051,31.07,8110,0
1786624067,31.32,8174,4090
1786624083,31.43,8203,1862
1786624099,31.43,8203,0
1786624115,31.43,8203,0
1786624131,31.68,8267,4095
1786624147,31.68,8267,0
1786624163,31.92,8331,4095
1786624179,31.92,8331,0
1786624195,32.17,8395,4088
1786624211,32.17,8395,0
1786624227,32.41,8459,4092
1786624243,32.41,8459,0
1786624259,32.66,8523,4092
1786624275,32.66,8523,0
1786624291,32.90,8586,4093
1786624307,32.97,8605,1215
1786624323,33.01,8616,685
1786624340,33.20,8666,2977
1786624356,33.22,8670,299
1786624372,33.22,8670,0
1786624388,33.47,8734,4089
1786624404,33.47,8734,0
1786624420,33.71,8798,4094
1786624436,33.71,8798,0
1786624452,33.96,8862,4095
1786624468,33.96,8862,0
1786624484,34.20,8926,4092
1786624500,34.20,8926,0
1786624516,34.45,8990,4094
1786624532,34.45,8990,0
1786624548,34.69,9054,4095
1786624564,34.69,9054,0
1786624580,34.94,9118,4090
1786624596,34.94,9118,0
1786624612,34.94,9118,0
1786624628,35.18,9182,4094
1786624644,35.18,9182,0
1786624661,35.43,9246,3852
1786624677,35.43,9246,0
1786624693,35.43,9246,0
1786624709,35.67,9310,4093
1786624725,35.74,9329,1204
1786624741,35.74,9329,0
1786624757,35.89,9368,2489
1786624774,35.89,9368,0
1786624790,36.14,9432,4095
1786628989,64.87,16930,0
1786629005,65.11,16994,4094
1786629021,65.11,16994,0
1786629037,65.11,16994,0
1786629053,65.36,17058,4088
1786629070,65.36,17058,0
1786629086,65.60,17121,4091
1786629102,65.60,17121,0
1786629118,65.85,17185,4091
1786629134,65.85,17185,0
1786629150,66.09,17249,4094
1786629166,66.09,17249,0
1786629182,66.09,17249,0
1786629198,66.09,17249,0
1786629214,66.48,17351,6503
1786629230,66.48,17351,0
1786629246,66.48,17351,0
1786629262,66.72,17412,3914
1786629278,66.72,17412,0
1786629294,66.72,17412,0
1786629310,66.72,17412,0
1786629326,67.21,17540,8183
1786629342,67.21,17540,0
1786629358,67.21,17540,0
1786629374,67.45,17604,4094
1786629390,67.70,17668,4095
1786629406,67.70,17668,0
1786629422,67.94,17732,4093
1786629438,67.94,17732,0
1786629454,68.19,17796,4094
1786629470,68.19,17796,0
1786629486,68.19,17796,0
1786629502,68.19,17796,0
1786629518,68.43,17860,4095
1786629534,68.43,17860,0
1786629550,68.68,17924,4094
1786629566,68.68,17924,0
1786629582,68.68,17924,0
1786629598,68.92,17988,4088
1786629614,69.01,18011,1477
1786629630,69.01,18011,0
1786629647,69.01,18011,0
1786629663,69.25,18075,4095
1786629679,69.25,18075,0
1786629695,69.50,18139,4095
1786629711,69.50,18139,0
1786629727,69.75,18203,4091
1786629743,69.75,18203,0
1786629759,69.99,18267,4092
1786629775,69.99,18267,0
1786629791,69.99,18267,0
1786629807,70.23,18331,4089
1786629823,70.23,18331,0
1786629839,70.23,18331,0
1786629855,70.48,18395,4090
1786629871,70.48,18395,0
1786629887,70.61,18428,2153
1786629903,70.84,18488,3841
1786629919,70.84,18488,0
1786629935,71.08,18552,4095
1786629951,71.08,18552,0
1786629967,71.08,18552,0
1786629983,71.33,18616,4095
1786629999,71.33,18616,0
1786630015,71.57,18680,4093
1786630031,71.57,18680,0
1786630047,71.82,18744,4091
1786630063,71.82,18744,0
1786630079,71.82,18744,0
1786630095,72.06,18808,4092
1786630111,72.06,18808,0
1786630127,72.31,18872,4094
1786630143,72.31,18872,0
1786630159,72.60,18947,4814
1786630175,72.60,18947,0
1786630191,72.60,18947,0
1786630207,72.84,19011,4093
1786630223,72.84,19011,0
1786630239,73.09,19075,4095
1786630255,73.09,19075,0
1786630271,73.09,19075,0
1786630287,73.33,19139,4092
1786630303,73.33,19139,0
1786630319,73.58,19203,4093
1786630335,73.58,19203,0
1786630351,73.82,19267,4092
1786630367,73.82,19267,0
1786630383,73.82,19267,0
1786630399,74.07,19331,4095
1786630415,74.07,19331,0
1786630431,74.07,19331,1
1786630447,74.26,19381,3167
1786630463,74.26,19381,0
1786630479,74.50,19445,4094
1786630495,74.50,19445,0
1786630511,74.75,19509,4092
1786630528,74.75,19509,0
1786630544,74.75,19509,0
1786630560,74.99,19572,4092
1786630576,74.99,19572,0
1786630592,75.24,19636,4094
1786630608,75.24,19636,0
1786630624,75.24,19636,0
1786630640,75.48,19700,4092
1786630656,75.48,19700,0
1786630672,75.48,19700,0
1786630688,75.73,19764,4095
1786630704,75.82,19789,1602
1786630720,76.04,19846,3650
1786630736,76.04,19846,0
1786630752,76.04,19846,0
1786630768,76.29,19910,4091
1786630784,76.29,19910,0
1786630800,76.29,19910,0
1786630816,76.53,19974,4093
1786630832,76.53,19974,0
1786630848,76.78,20038,4094
1786630864,76.78,20038,0
1786630880,76.78,20038,0
1786630896,77.02,20102,4094
1786630912,77.02,20102,0
1786630928,77.02,20102,0
1786630944,77.27,20166,4090
1786630960,77.27,20166,0
1786630976,77.27,20166,0
1786630992,77.47,20219,3407
1786631008,77.47,20219,0
1786631024,77.47,20219,0
1786631040,77.58,20248,1817
1786631056,77.58,20248,0
1786631072,77.80,20306,3692
1786631088,77.80,20306,0
1786631105,78.05,20369,3848
1786631122,78.05,20369,0
1786631139,78.29,20433,3850
1786631155,78.29,20433,0
1786631172,78.29,20433,0
1786631189,78.29,20433,0
1786631206,78.54,20497,3854
1786631222,78.54,20497,0
1786631239,78.54,20497,0
1786631256,78.78,20561,3851
1786631273,78.78,20561,0
1786631290,79.03,20625,3855
1786631307,79.03,20625,0
1786631324,79.03,20625,0
1786631340,79.27,20689,4094
1786631357,79.27,20689,0
1786631374,79.52,20753,3851
1786631391,79.52,20753,0
1786631408,79.76,20817,3854
1786631425,79.76,20817,0
1786631442,79.76,20817,0
1786631459,79.76,20817,0
1786631476,80.01,20881,3850
1786631493,80.01,20881,0
1786631510,80.36,20974,5591
1786631526,80.36,20974,0
1786631543,80.36,20974,0
1786631560,80.61,21038,3850
1786631577,80.61,21038,0
1786631594,80.85,21102,3852
1786631611,80.85,21102,0
1786631628,80.85,21102,0
1786631645,81.10,21166,3852
1786631662,81.10,21166,0
1786631679,81.34,21230,3854
1786631696,81.34,21230,0
1786631713,81.59,21294,3854
1786631730,81.59,21294,0
1786631747,81.75,21336,2565
1786631764,81.90,21376,2379
1786631781,82.00,21402,1554
1786631798,82.00,21402,0
1786631815,82.00,21402,0
1786631832,82.25,21466,3854
1786631849,82.25,21466,0
1786631866,82.49,21530,3853
1786631883,82.49,21530,0
1786631900,82.74,21594,3854
1786631917,82.74,21594,0
1786631934,82.74,21594,0
1786631951,82.98,21658,3854
1786631968,82.98,21658,0
1786631985,82.98,21658,0
1786632002,83.23,21722,3853
1786632019,83.23,21722,0
1786632036,83.47,21786,3850
1786632053,83.47,21786,0
1786632070,83.47,21786,0
1786632087,83.72,21849,3852
1786632104,83.72,21849,0
1786632121,83.96,21913,3854
1786632137,83.96,21913,0
1786632153,84.21,21977,4095
1786632169,84.21,21977,0
1786632185,84.44,22037,3831
1786632201,84.44,22037,0
1786632217,84.68,22101,4095
1786632233,84.68,22101,0
1786632250,84.68,22101,0
1786632266,84.93,22165,4092
1786632282,84.93,22165,0
1786632298,85.17,22229,4091
1786632314,85.17,22229,0
1786632330,85.17,22229,0
1786632346,85.42,22293,4094
1786632362,85.42,22293,0
1786632378,85.42,22293,0
1786632394,85.66,22357,4095
1786632410,85.66,22357,0
1786632426,85.91,22421,4089
1786632443,85.91,22421,0
1786632459,85.91,22421,0
1786632475,86.03,22453,2058
1786632491,86.18,22493,2528
1786632507,86.18,22493,0
1786632523,86.43,22556,4079
1786632539,86.43,22556,0
1786632555,86.43,22556,0
1786632571,86.43,22556,0
1786632587,86.67,22620,4093
1786632603,86.67,22620,0
1786632619,86.92,22684,4094
1786632635,86.92,22684,0
1786632651,86.92,22684,0
1786632667,87.16,22748,4095
1786632683,87.16,22748,0
1786632699,87.41,22812,4091
1786632715,87.41,22812,0
1786632731,87.41,22812,0
1786632747,87.65,22876,4095
1786632763,87.65,22876,0
1786632779,87.90,22940,4089
1786632795,87.90,22940,0
1786632811,88.14,23004,4094
1786632827,88.14,23004,0
1786632843,88.39,23068,4095
1786632859,88.39,23068,0
1786632875,88.39,23068,0
1786632891,88.76,23164,6166
1786632907,88.76,23164,0
1786632923,88.76,23164,0
1786632940,89.00,23228,3853
1786632956,89.00,23228,0
1786632972,89.25,23292,4095
1786632988,89.25,23292,0
1786633004,89.49,23356,4092
1786633020,89.49,23356,0
1786633036,89.74,23420,4094
1786633052,89.74,23420,0
1786633068,89.74,23420,0
1786633084,89.98,23484,4095
1786633100,89.98,23484,0
1786633116,90.23,23548,4094
1786633132,90.35,23580,2010
1786633148,90.48,23614,2183
1786633164,90.48,23614,0
1786633180,90.63,23653,2506
1786633196,90.63,23653,0
1786633212,90.87,23717,4090
1786633228,90.87,23717,0
1786633244,91.12,23781,4095
1786633260,91.12,23781,0
1786633276,91.36,23845,4088
1786633292,91.44,23864,1241
1786633308,91.44,23864,0
1786633324,91.61,23909,2852
1786633340,91.73,23941,2059
1786633356,91.85,23973,2074
1786633372,91.85,23973,0
1786633388,91.85,23973,0
1786633404,92.15,24049,4852
1786633420,92.15,24049,0
1786633436,92.35,24101,3336
1786633452,92.35,24101,0
1786633468,92.59,24165,4094
1786633484,92.59,24165,0
1786633500,92.84,24229,4095
1786633516,92.84,24229,0
